,Track ID,Track Name,Track Added At,Track Popularity,Track Duration,Available Markets,Album,Album Type,Artist,Release Date,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Speechiness,Valence,Tempo
44,7hpJ9tATWb2vztlq99hERP,Maniac,2020-01-29T19:04:50Z,85,185786,79,Maniac,single,|Conan Gray,2019-10-25,8.0,1.0,4.0,0.00122,0.623,0.647,0.0,0.354,-5.438,0.04,0.522,107.987,0.04,0.522,107.987
45,1iSqfoUFnQwV0QW1EfUit8,Suicidal,2020-01-29T19:04:50Z,91,222997,78,Melly vs. Melvin,album,|YNW Melly,2019-11-22,9.0,0.0,4.0,0.334,0.736,0.369,0.0,0.126,-9.682,0.0688,0.235,140.005,0.0688,0.235,140.005
46,6cy3ki60hLwimwIje7tALf,RITMO (Bad Boys For Life),2020-01-29T19:04:50Z,96,221714,79,RITMO (Bad Boys For Life),single,|The Black Eyed Peas|J Balvin,2019-10-12,10.0,0.0,4.0,0.0334,0.721,0.716,0.00084,0.237,-7.037,0.0657,0.667,104.994,0.0657,0.667,104.994
47,07s9NNOT0sZQp7TyolLLgu,Own It (feat. Ed Sheeran & Burna Boy),2020-01-29T19:04:50Z,72,216706,0,Own It (feat. Ed Sheeran & Burna Boy),single,|Stormzy|Burna Boy|Ed Sheeran,2019-11-22,7.0,0.0,4.0,0.00838,0.817,0.781,5.21e-06,0.123,-4.178,0.112,0.359,104.0,0.112,0.359,104.0
48,6LcauUZjF1eXQrgqMUecHX,Ayy Macarena,2020-01-29T19:04:50Z,91,131606,79,Ayy Macarena,single,|Tyga,2019-11-13,2.0,1.0,4.0,0.133,0.816,0.63,0.0,0.0692,-5.568,0.226,0.715,96.493,0.226,0.715,96.493
49,6Ozh9Ok6h4Oi1wUSLtBseN,BOP,2020-01-29T19:04:50Z,93,159714,79,KIRK,album,|DaBaby,2019-09-27,11.0,1.0,4.0,0.189,0.769,0.787,0.0,0.129,-3.909,0.367,0.836,126.77,0.367,0.836,126.77
50,6zGPytJiZmFuyVq7RTNO9G,Get Me,2020-01-29T19:17:02Z,0,185418,79,Get Me,single,|Justin Bieber|Kehlani,2020-01-28,6.0,0.0,5.0,0.0661,0.822,0.521,2.59e-05,0.107,-6.998,0.119,0.758,109.287,0.119,0.758,109.287
51,18ssFhD04lWo1RzpcohnrG,Anyone,2020-01-29T19:17:02Z,68,227813,79,Anyone,single,|Demi Lovato,2020-01-27,11.0,1.0,5.0,0.873,0.543,0.392,0.0,0.111,-6.29,0.0378,0.305,86.687,0.0378,0.305,86.687
52,3cqPu20DGTGUoZtbJH2Dmi,What If I Told You That I Love You,2020-01-29T19:17:02Z,77,193667,57,What If I Told You That I Love You,single,|Ali Gatie,2020-01-24,7.0,1.0,4.0,0.63,0.605,0.365,6.83e-06,0.0554,-11.144,0.111,0.224,84.628,0.111,0.224,84.628
53,4yJiXq86uM56uIfIZgE440,me & ur ghost,2020-01-29T19:17:02Z,81,200400,79,me & ur ghost,single,|blackbear,2020-01-16,7.0,1.0,4.0,0.0696,0.761,0.625,0.0,0.0784,-6.17,0.026,0.875,100.022,0.026,0.875,100.022
54,6TRt2bniIq0EIlrDlje7b8,First Man,2020-01-29T19:17:02Z,71,228758,79,Romance,album,|Camila Cabello,2019-12-06,7.0,1.0,4.0,0.906,0.572,0.292,1.04e-06,0.106,-7.621,0.0364,0.223,100.152,0.0364,0.223,100.152
55,23TPP1eeElFfvYVznskwCY,Glitter,2020-01-29T19:17:02Z,80,180146,79,FIRE ON MARZZ,single,|BENEE,2019-06-28,7.0,1.0,4.0,0.0863,0.801,0.589,0.0,0.162,-5.157,0.0485,0.58,116.934,0.0485,0.58,116.934
56,7ikRId3U9AXd6tfF2fbItC,Rodeo - feat. Nas,2020-01-29T19:17:02Z,59,145222,79,Rodeo (feat. Nas),single,|Lil Nas X|Nas,2020-01-27,9.0,1.0,4.0,0.0814,0.65,0.637,0.000607,0.51,-6.195,0.0369,0.575,140.115,0.0369,0.575,140.115
57,2usxQITOSDqvkYiI0oIwao,You should be sad,2020-01-29T19:17:02Z,89,205473,79,You should be sad,single,|Halsey,2020-01-10,2.0,1.0,4.0,0.143,0.591,0.585,0.0,0.109,-6.35,0.0277,0.324,110.94,0.0277,0.324,110.94
58,1X8mgsS7R6lcKLjDPeQWum,Sad Tonight,2020-01-29T19:17:02Z,67,179093,0,How To Be Human,album,|Chelsea Cutler,2020-01-17,0.0,1.0,4.0,0.353,0.71,0.676,1.62e-05,0.172,-7.57,0.332,0.471,105.025,0.332,0.471,105.025
59,1eyaiDAmi6Hct0pPtRzMWm,Tattoos Together,2020-01-29T19:17:02Z,58,186613,1,Tattoos Together,single,|Lauv,2020-01-16,4.0,1.0,4.0,0.00575,0.862,0.4,7.49e-06,0.123,-7.486,0.0736,0.596,122.963,0.0736,0.596,122.963
60,3o1CUVeHIid49sabk6A6Nf,Forever Yours - Avicii Tribute,2020-01-29T19:17:02Z,76,193846,79,Forever Yours (Avicii Tribute),single,|Kygo|Avicii|Sandro Cavazza,2020-01-24,10.0,1.0,4.0,0.253,0.529,0.612,0.0,0.246,-8.794,0.052,0.434,119.272,0.052,0.434,119.272
61,4wNIkl5XGiAACjFBlDWuSd,What A Man Gotta Do,2020-01-29T19:17:02Z,87,180644,79,What A Man Gotta Do,single,|Jonas Brothers,2020-01-17,9.0,1.0,4.0,0.0101,0.857,0.708,1.95e-06,0.0908,-7.158,0.0608,0.333,113.015,0.0608,0.333,113.015
62,0KW2JqqbzkzlebDjXI62OB,Demons,2020-01-29T19:17:02Z,70,165112,0,Demons,single,|Alec Benjamin,2020-01-16,5.0,0.0,4.0,0.665,0.708,0.489,0.000138,0.302,-7.608,0.0366,0.771,142.925,0.0366,0.771,142.925
63,3ClBKQkKoaUQ6UOhe2xlJK,Good News,2020-01-29T19:17:02Z,88,342040,78,Good News,single,|Mac Miller,2020-01-09,1.0,0.0,4.0,0.853,0.794,0.32,0.134,0.112,-12.92,0.173,0.241,174.088,0.173,0.241,174.088
64,0x0yttxnfoqFUYL1UB3Ckh,if we never met (feat. Kelsea Ballerini),2020-01-29T19:17:02Z,62,144360,79,if we never met (feat. Kelsea Ballerini),single,|John K|Kelsea Ballerini,2020-01-17,8.0,1.0,4.0,0.207,0.957,0.365,0.0,0.132,-7.632,0.0512,0.355,107.967,0.0512,0.355,107.967
65,1ToprX3cpBiXoAe5eNSk74,Eleven,2020-01-29T19:17:02Z,86,206360,79,Eleven,single,|Khalid,2020-01-09,4.0,0.0,4.0,0.112,0.701,0.396,0.0209,0.223,-10.182,0.119,0.115,129.004,0.119,0.115,129.004
66,2Mfv5HaqnI18Q9JRv9hqnn,Still Learning,2020-01-29T19:17:02Z,80,211784,79,Manic,album,|Halsey,2020-01-17,0.0,0.0,4.0,0.0396,0.708,0.661,0.000244,0.113,-6.543,0.0546,0.317,102.046,0.0546,0.317,102.046
67,5pBQDRgfbV6lhuwlvWEftN,Good Day,2020-01-29T19:17:02Z,67,116363,79,Good Day,single,|iann dior,2020-01-24,9.0,1.0,4.0,0.627,0.715,0.639,0.0,0.0905,-6.947,0.105,0.443,82.466,0.105,0.443,82.466
68,7FIWs0pqAYbP91WWM0vlTQ,Godzilla (feat. Juice WRLD),2020-01-29T19:17:02Z,94,210800,79,Music To Be Murdered By,album,|Eminem|Juice WRLD,2020-01-17,10.0,0.0,4.0,0.145,0.808,0.745,0.0,0.292,-5.26,0.342,0.829,165.995,0.342,0.829,165.995
69,5yY9lUy8nbvjM1Uyo1Uqoc,Life Is Good (feat. Drake),2020-01-29T19:17:02Z,96,237735,79,Life Is Good (feat. Drake),single,|Future|Drake,2020-01-10,2.0,0.0,4.0,0.0706,0.676,0.609,0.0,0.152,-5.831,0.481,0.508,142.037,0.481,0.508,142.037
